ISO2,ISO3,ISO3Alt
ab,abk,abk
aa,aar,aar
af,afr,afr
ak,aka,aka
sq,sqi,alb
am,amh,amh
ar,ara,ara
an,arg,arg
hy,hye,arm
as,asm,asm
av,ava,ava
ae,ave,ave
ay,aym,aym
az,aze,aze
bm,bam,bam
ba,bak,bak
eu,eus,baq
be,bel,bel
bn,ben,ben
bh,bih,bih
bi,bis,bis
bs,bos,bos
br,bre,bre
bg,bul,bul
my,mya,bur
ca,cat,cat
ch,cha,cha
ce,che,che
ny,nya,nya
zh,zho,chi
cv,chv,chv
kw,cor,cor
co,cos,cos
cr,cre,cre
hr,hrv,hrv
cs,ces,cze
da,dan,dan
dv,div,div
nl,nld,dut
dz,dzo,dzo
en,eng,eng
eo,epo,epo
et,est,est
ee,ewe,ewe
fo,fao,fao
fj,fij,fij
fl,fil,fil
fi,fin,fin
fr,fra,fre
ff,ful,ful
gl,glg,glg
ka,kat,geo
de,deu,ger
el,ell,gre
gn,grn,grn
gu,guj,guj
ht,hat,hat
ha,hau,hau
he,heb,heb
hz,her,her
hi,hin,hin
ho,hmo,hmo
hu,hun,hun
ia,ina,ina
id,ind,ind
ie,ile,ile
ga,gle,gle
ig,ibo,ibo
ik,ipk,ipk
io,ido,ido
is,isl,ice
it,ita,ita
iu,iku,iku
ja,jpn,jpn
jv,jav,jav
kl,kal,kal
kn,kan,kan
kr,kau,kau
ks,kas,kas
kk,kaz,kaz
km,khm,khm
ki,kik,kik
rw,kin,kin
ky,kir,kir
kv,kom,kom
kg,kon,kon
ko,kor,kor
ku,kur,kur
kj,kua,kua
la,lat,lat
lb,ltz,ltz
lg,lug,lug
li,lim,lim
ln,lin,lin
lo,lao,lao
lt,lit,lit
lu,lub,lub
lv,lav,lav
gv,glv,glv
mk,mkd,mac
mg,mlg,mlg
ms,msa,may
ml,mal,mal
mt,mlt,mlt
mi,mri,mao
mr,mar,mar
mh,mah,mah
mn,mon,mon
na,nau,nau
nv,nav,nav
nd,nde,nde
ne,nep,nep
ng,ndo,ndo
nb,nob,nob
nn,nno,nno
no,nor,nor
ii,iii,iii
nr,nbl,nbl
oc,oci,oci
oj,oji,oji
cu,chu,chu
om,orm,orm
or,ori,ori
os,oss,oss
pa,pan,pan
pi,pli,pli
fa,fas,per
pl,pol,pol
ps,pus,pus
pt,por,por
qu,que,que
rm,roh,roh
rn,run,run
ro,ron,rum
ru,rus,rus
sa,san,san
sc,srd,srd
sd,snd,snd
se,sme,sme
sm,smo,smo
sg,sag,sag
sr,srp,srp
gd,gla,gla
sn,sna,sna
si,sin,sin
sk,slk,slo
sl,slv,slv
so,som,som
st,sot,sot
es,spa,spa
su,sun,sun
sw,swa,swa
ss,ssw,ssw
sv,swe,swe
ta,tam,tam
te,tel,tel
tg,tgk,tgk
th,tha,tha
ti,tir,tir
bo,bod,tib
tk,tuk,tuk
tl,tgl,tgl
tn,tsn,tsn
to,ton,ton
tr,tur,tur
ts,tso,tso
tt,tat,tat
tw,twi,twi
ty,tah,tah
ug,uig,uig
uk,ukr,ukr
ur,urd,urd
uz,uzb,uzb
ve,ven,ven
vi,vie,vie
vo,vol,vol
wa,wln,wln
cy,cym,wel
wo,wol,wol
fy,fry,fry
xh,xho,xho
yi,yid,yid
yo,yor,yor
za,zha,zha
zu,zul,zul
